budget_year,fund_type,department,branch,program,category,account_type,budget 
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Community Facility Partner Capital Grant Program,Community Facility Partner Capital Grant Program,Expenses,2900000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Corporate Traffic Safety Initiatives,Corporate Traffic Safety Initiatives,Expenses,4400000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Edmonton Police Service,Edmonton Police Service,Expenses,20384000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Office of Traffic Safety,Office of Traffic Safety,Expenses,12115000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Road Safety Strategy - Transportation Operations,Road Safety Strategy - Transportation Operations,Expenses,2811000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Road Safety Strategy - Transportation Planning,Road Safety Strategy - Transportation Planning,Expenses,1284000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Transfer to Capital:,Traffic Safety (CM-66-2545),Expenses,3414000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Transfer to Capital:,Traffic Signals - Pedestrian Vehicle Safety (CM-66-2520),Expenses,4000000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Transfer to Capital:,Traffic Safety Engineering Measures (CM-66-2550),Expenses,3500000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Transfer to Capital:,Community Traffic Safety Countermeasures (CM-66-2555),Expenses,3700000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Transfer to Traffic Safety and Automated Enforcement Reserve (Unallocated),Transfer to Traffic Safety and Automated Enforcement Reserve (Unallocated),Expenses,3408000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Capital Project Financing,Investment Related Expenses,Investment Related Expenses,Expenses,1250000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Capital Project Financing,Local Improvement Debt Charges,Local Improvement Debt Charges,Expenses,10794000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Capital Project Financing,Self-supported Debt Charges,Self-supported Debt Charges,Expenses,16130000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Capital Project Financing,SLRT Debt Charges,SLRT Debt Charges,Expenses,44530000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Capital Project Financing,Tax-supported Debt Charges,Tax-supported Debt Charges,Expenses,92898000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Capital Project Financing,Transfer to Capital - PAYG Funding,Transfer to Capital - PAYG Funding,Expenses,133148000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Capital Project Financing,Transfer to LRT Reserve,Transfer to LRT Reserve,Expenses,4185000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Capital Project Financing,Transfer to/(from) Local Improvements Reserve,Transfer to/(from) Local Improvements Reserve,Expenses,181000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,Council Contingency,Council Contingency,Expenses,628000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,Downtown Arena Funding (redirected Northlands Subsidy),Downtown Arena Funding (redirected Northlands Subsidy),Expenses,909000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,External Debt,External Debt,Expenses,777000.00
